[/Volumes/arrdata/media/music/AC_DC/Back in Black (1980)] LOG: No files imported from /Volumes/arrdata/media/music/AC_DC/Back in Black (1980) | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/AC_DC/Back in Black (1980)"
[/Volumes/arrdata/media/music/AC_DC/Ballbreaker (2014)] LOG: No files imported from /Volumes/arrdata/media/music/AC_DC/Ballbreaker (2014) | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/AC_DC/Ballbreaker (2014)"
[/Volumes/arrdata/media/music/AC_DC/Black Ice (2008)] LOG: No files imported from /Volumes/arrdata/media/music/AC_DC/Black Ice (2008) | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/AC_DC/Black Ice (2008)"
[/Volumes/arrdata/media/music/AC_DC/Dirty Deeds Done Dirt Cheap (1987)] LOG: No files imported from /Volumes/arrdata/media/music/AC_DC/Dirty Deeds Done Dirt Cheap (1987) | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/AC_DC/Dirty Deeds Done Dirt Cheap (1987)"
[/Volumes/arrdata/media/music/AC_DC/Flick of the Switch (2014)] LOG: No files imported from /Volumes/arrdata/media/music/AC_DC/Flick of the Switch (2014) | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/AC_DC/Flick of the Switch (2014)"
[/Volumes/arrdata/media/music/AC_DC/Fly On The Wall (1985)] LOG: No files imported from /Volumes/arrdata/media/music/AC_DC/Fly On The Wall (1985) | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/AC_DC/Fly On The Wall (1985)"
[/Volumes/arrdata/media/music/AC_DC/Highway To Hell (2009)] LOG: No files imported from /Volumes/arrdata/media/music/AC_DC/Highway To Hell (2009) | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/AC_DC/Highway To Hell (2009)"
[/Volumes/arrdata/media/music/AC_DC/Let There Be Rock (1987)] LOG: No files imported from /Volumes/arrdata/media/music/AC_DC/Let There Be Rock (1987) | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/AC_DC/Let There Be Rock (1987)"
[/Volumes/arrdata/media/music/AC_DC/POWER UP (2020)] LOG: No files imported from /Volumes/arrdata/media/music/AC_DC/POWER UP (2020) | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/AC_DC/POWER UP (2020)"
[/Volumes/arrdata/media/music/AC_DC/Powerage (1978)] LOG: No files imported from /Volumes/arrdata/media/music/AC_DC/Powerage (1978) | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/AC_DC/Powerage (1978)"
[/Volumes/arrdata/media/music/AC_DC/Rock Or Bust (2014)] LOG: No files imported from /Volumes/arrdata/media/music/AC_DC/Rock Or Bust (2014) | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/AC_DC/Rock Or Bust (2014)"
[/Volumes/arrdata/media/music/AC_DC/Stiff Upper Lip (2014)] LOG: No files imported from /Volumes/arrdata/media/music/AC_DC/Stiff Upper Lip (2014) | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/AC_DC/Stiff Upper Lip (2014)"
[/Volumes/arrdata/media/music/AC_DC/The Razors Edge (2009)] LOG: No files imported from /Volumes/arrdata/media/music/AC_DC/The Razors Edge (2009) | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/AC_DC/The Razors Edge (2009)"
[/Volumes/arrdata/media/music/Afric Simon/Discoradio Collection Vol 3 - CD2] LOG: No files imported from /Volumes/arrdata/media/music/Afric Simon/Discoradio Collection Vol 3 - CD2 | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/Afric Simon/Discoradio Collection Vol 3 - CD2"
[/Volumes/arrdata/media/music/Agnes Baltsa, Ferruccio Furlanetto_ Herb/Mozart_ Don Giovanni (Highlights)] LOG: No files imported from /Volumes/arrdata/media/music/Agnes Baltsa, Ferruccio Furlanetto_ Herb/Mozart_ Don Giovanni (Highlights) | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/Agnes Baltsa, Ferruccio Furlanetto_ Herb/Mozart_ Don Giovanni (Highlights)"
